"Penumbra Start Time (UTCG)","Umbra Start Time (UTCG)","Umbra Stop Time (UTCG)","Penumbra Stop Time (UTCG)","Obstruction","Duration (sec)","Max Percent Shadow","Time of Max Shadow (UTCG)"
15 Jan 2030 20:05:18.842,15 Jan 2030 20:05:23.320,15 Jan 2030 20:27:01.100,15 Jan 2030 20:27:07.455,"Jupiter",1308.612,100.000000,15 Jan 2030 20:05:23.320
18 Jan 2030 18:04:33.151,18 Jan 2030 18:04:37.635,18 Jan 2030 18:26:39.921,18 Jan 2030 18:26:46.346,"Jupiter",1333.195,100.000000,18 Jan 2030 18:04:37.635
21 Jan 2030 16:03:48.021,21 Jan 2030 16:03:52.517,21 Jan 2030 16:26:19.311,21 Jan 2030 16:26:25.813,"Jupiter",1357.792,100.000000,21 Jan 2030 16:03:52.517
24 Jan 2030 14:03:03.456,24 Jan 2030 14:03:07.967,24 Jan 2030 14:25:59.318,24 Jan 2030 14:26:05.902,"Jupiter",1382.446,100.000000,24 Jan 2030 14:03:07.967
27 Jan 2030 12:02:19.458,27 Jan 2030 12:02:23.989,27 Jan 2030 12:25:39.961,27 Jan 2030 12:25:46.630,"Jupiter",1407.172,100.000000,27 Jan 2030 12:02:23.989
30 Jan 2030 10:01:36.032,30 Jan 2030 10:01:40.587,30 Jan 2030 10:25:21.276,30 Jan 2030 10:25:28.036,"Jupiter",1432.004,100.000000,30 Jan 2030 10:01:40.587
2 Feb 2030 08:00:53.188,2 Feb 2030 08:00:57.771,2 Feb 2030 08:25:03.311,2 Feb 2030 08:25:10.165,"Jupiter",1456.976,100.000000,2 Feb 2030 08:00:57.771
5 Feb 2030 06:00:10.928,5 Feb 2030 06:00:15.543,5 Feb 2030 06:24:46.097,5 Feb 2030 06:24:53.053,"Jupiter",1482.125,100.000000,5 Feb 2030 06:00:15.543
8 Feb 2030 03:59:29.260,8 Feb 2030 03:59:33.911,8 Feb 2030 04:24:29.671,8 Feb 2030 04:24:36.733,"Jupiter",1507.473,100.000000,8 Feb 2030 03:59:33.911
11 Feb 2030 01:58:48.200,11 Feb 2030 01:58:52.892,11 Feb 2030 02:24:14.072,11 Feb 2030 02:24:21.242,"Jupiter",1533.042,100.000000,11 Feb 2030 01:58:52.892
13 Feb 2030 23:58:07.757,13 Feb 2030 23:58:12.495,14 Feb 2030 00:23:59.351,14 Feb 2030 00:24:06.640,"Jupiter",1558.883,100.000000,13 Feb 2030 23:58:12.495
16 Feb 2030 21:57:27.944,16 Feb 2030 21:57:32.732,16 Feb 2030 22:23:45.536,16 Feb 2030 22:23:52.946,"Jupiter",1585.002,100.000000,16 Feb 2030 21:57:32.732
19 Feb 2030 19:56:48.775,19 Feb 2030 19:56:53.618,19 Feb 2030 20:23:32.693,19 Feb 2030 20:23:40.229,"Jupiter",1611.454,100.000000,19 Feb 2030 19:56:53.618
22 Feb 2030 17:56:10.266,22 Feb 2030 17:56:15.169,22 Feb 2030 18:23:20.853,22 Feb 2030 18:23:28.522,"Jupiter",1638.256,100.000000,22 Feb 2030 17:56:15.169
25 Feb 2030 15:55:32.433,25 Feb 2030 15:55:37.400,25 Feb 2030 16:23:10.069,25 Feb 2030 16:23:17.875,"Jupiter",1665.442,100.000000,25 Feb 2030 15:55:37.400
28 Feb 2030 13:54:55.295,28 Feb 2030 13:55:00.331,28 Feb 2030 14:23:00.400,28 Feb 2030 14:23:08.349,"Jupiter",1693.055,100.000000,28 Feb 2030 13:55:00.331
3 Mar 2030 11:54:18.870,3 Mar 2030 11:54:23.981,3 Mar 2030 12:22:51.884,3 Mar 2030 12:22:59.983,"Jupiter",1721.113,100.000000,3 Mar 2030 11:54:23.981
6 Mar 2030 09:53:43.179,6 Mar 2030 09:53:48.370,6 Mar 2030 10:22:44.599,6 Mar 2030 10:22:52.853,"Jupiter",1749.675,100.000000,6 Mar 2030 09:53:48.370
9 Mar 2030 07:53:08.243,9 Mar 2030 07:53:13.519,9 Mar 2030 08:22:38.585,9 Mar 2030 08:22:46.998,"Jupiter",1778.755,100.000000,9 Mar 2030 07:53:13.519
12 Mar 2030 05:52:34.085,12 Mar 2030 05:52:39.451,12 Mar 2030 06:22:33.915,12 Mar 2030 06:22:42.498,"Jupiter",1808.413,100.000000,12 Mar 2030 05:52:39.451
15 Mar 2030 03:52:00.728,15 Mar 2030 03:52:06.191,15 Mar 2030 04:22:30.655,15 Mar 2030 04:22:39.412,"Jupiter",1838.684,100.000000,15 Mar 2030 03:52:06.191
18 Mar 2030 01:51:28.198,18 Mar 2030 01:51:33.761,18 Mar 2030 02:22:28.860,18 Mar 2030 02:22:37.798,"Jupiter",1869.601,100.000000,18 Mar 2030 01:51:33.761
20 Mar 2030 23:50:56.518,20 Mar 2030 23:51:02.189,21 Mar 2030 00:22:28.621,21 Mar 2030 00:22:37.744,"Jupiter",1901.226,100.000000,20 Mar 2030 23:51:02.189
23 Mar 2030 21:50:25.716,23 Mar 2030 21:50:31.500,23 Mar 2030 22:22:30.001,23 Mar 2030 22:22:39.322,"Jupiter",1933.606,100.000000,23 Mar 2030 21:50:31.500
26 Mar 2030 19:49:55.818,26 Mar 2030 19:50:01.721,26 Mar 2030 20:22:33.076,26 Mar 2030 20:22:42.598,"Jupiter",1966.780,100.000000,26 Mar 2030 19:50:01.721
29 Mar 2030 17:49:26.852,29 Mar 2030 17:49:32.879,29 Mar 2030 18:22:37.945,29 Mar 2030 18:22:47.677,"Jupiter",2000.826,100.000000,29 Mar 2030 17:49:32.879
1 Apr 2030 15:48:58.845,1 Apr 2030 15:49:05.003,1 Apr 2030 16:22:44.680,1 Apr 2030 16:22:54.629,"Jupiter",2035.784,100.000000,1 Apr 2030 15:49:05.003
4 Apr 2030 13:48:31.829,4 Apr 2030 13:48:38.120,4 Apr 2030 14:22:53.385,4 Apr 2030 14:23:03.558,"Jupiter",2071.729,100.000000,4 Apr 2030 13:48:38.120
