"Time (UTCG)","x (km)","y (km)","z (km)"
2 Jan 2032 22:09:58.699,-135894889.371380,703605202.862671,304917173.379308
2 Jan 2032 23:09:58.699,-135929570.174064,703628883.945122,304930343.108606
3 Jan 2032 00:09:58.699,-135965625.118706,703652913.680159,304943656.261231
3 Jan 2032 01:09:58.699,-136003067.025246,703677246.801386,304957090.912839
3 Jan 2032 02:09:58.699,-136041906.881499,703701837.642426,304970624.979122
3 Jan 2032 03:09:58.699,-136082153.830685,703726640.196257,304984236.244471
3 Jan 2032 04:09:58.699,-136123815.161094,703751608.175293,304997902.390960
3 Jan 2032 05:09:58.699,-136166896.297741,703776695.071968,305011601.027528
3 Jan 2032 06:09:58.699,-136211400.795971,703801854.219593,305025309.719262
3 Jan 2032 07:09:58.699,-136257330.337106,703827038.853287,305039006.016682
3 Jan 2032 08:09:58.699,-136304684.726238,703852202.170868,305052667.484966
3 Jan 2032 09:09:58.699,-136353461.892273,703877297.393618,305066271.733076
3 Jan 2032 10:09:58.699,-136403657.890327,703902277.826923,305079796.442793
3 Jan 2032 11:09:58.699,-136455266.906485,703927096.920787,305093219.397635
3 Jan 2032 12:09:58.699,-136508281.264945,703951708.330163,305106518.511661
3 Jan 2032 13:09:58.699,-136562691.437532,703976065.975090,305119671.858132
3 Jan 2032 14:09:58.699,-136618486.055553,704000124.100522,305132657.697986
3 Jan 2032 15:09:58.699,-136675651.923986,704023837.335768,305145454.508081
3 Jan 2032 16:09:58.699,-136734174.037999,704047160.753453,305158041.009178
3 Jan 2032 17:09:58.699,-136794035.601794,704070049.927977,305170396.193635
3 Jan 2032 18:09:58.699,-136855218.049731,704092460.993454,305182499.352814
3 Jan 2032 19:09:58.699,-136917701.069682,704114350.701167,305194330.104222
3 Jan 2032 20:09:58.699,-136981462.628543,704135676.476436,305205868.418331
3 Jan 2032 21:09:58.699,-137046478.999866,704156396.474742,305217094.645005
3 Jan 2032 22:09:58.699,-137112724.793596,704176469.636661,305227989.539338
3 Jan 2032 23:09:58.699,-137180172.988023,704195855.741247,305238534.286712
4 Jan 2032 00:09:58.699,-137248794.963612,704214515.458849,305248710.527553
4 Jan 2032 01:09:58.699,-137318560.538096,704232410.409990,305258500.384933
4 Jan 2032 02:09:58.699,-137389438.003981,704249503.206320,305267886.483639
4 Jan 2032 03:09:58.699,-137461394.168857,704265757.506122,305276851.976080
4 Jan 2032 04:09:58.699,-137534394.397336,704281138.061095,305285380.564018
4 Jan 2032 05:09:58.699,-137608402.653883,704295610.762990,305293456.520184
4 Jan 2032 06:09:58.699,-137683381.548751,704309142.688711,305301064.709103
4 Jan 2032 07:09:58.699,-137759292.386042,704321702.143986,305308190.607188
4 Jan 2032 08:09:58.699,-137836095.213567,704333258.705588,305314820.322101
4 Jan 2032 09:09:58.699,-137913748.874461,704343783.262130,305320940.611385
4 Jan 2032 10:09:58.699,-137992211.060468,704353248.053354,305326538.900367
4 Jan 2032 11:09:58.699,-138071438.366828,704361626.707888,305331603.299276
4 Jan 2032 12:09:58.699,-138151386.348691,704368894.279371,305336122.619573
4 Jan 2032 13:09:58.699,-138232009.578908,704375027.280887,305340086.389449
4 Jan 2032 14:09:58.699,-138313261.707151,704380003.717604,305343484.868436
4 Jan 2032 15:09:58.699,-138395095.520286,704383803.117569,305346309.061117
4 Jan 2032 16:09:58.699,-138477463.003947,704386406.560560,305348550.729894
4 Jan 2032 17:09:58.699,-138560315.405263,704387796.704960,305350202.406778
4 Jan 2032 18:09:58.699,-138643603.296691,704387957.812596,305351257.404195
4 Jan 2032 19:09:58.699,-138727276.640863,704386875.771491,305351709.824765
4 Jan 2032 20:09:58.699,-138811284.856425,704384538.116495,305351554.570058
4 Jan 2032 21:09:58.699,-138895576.884718,704380934.047746,305350787.348284
4 Jan 2032 22:09:58.699,-138980101.257288,704376054.446935,305349404.680928
4 Jan 2032 23:09:58.699,-139064806.164130,704369891.891328,305347403.908284
5 Jan 2032 00:09:58.699,-139149639.522631,704362440.665559,305344783.193919
5 Jan 2032 01:09:58.699,-139234549.047167,704353696.771196,305341541.528053
5 Jan 2032 02:09:58.699,-139319482.319292,704343657.934131,305337678.729890
5 Jan 2032 03:09:58.699,-139404386.858403,704332323.609869,305333195.448929
5 Jan 2032 04:09:58.699,-139489210.192779,704319694.986784,305328093.165301
5 Jan 2032 05:09:58.699,-139573899.930687,704305774.987382,305322374.189152
5 Jan 2032 06:09:58.699,-139658403.831351,704290568.267553,305316041.659054
5 Jan 2032 07:09:58.699,-139742669.875438,704274081.213599,305309099.539373
5 Jan 2032 08:09:58.699,-139826646.334890,704256321.936739,305301552.616414
5 Jan 2032 09:09:58.699,-139910281.842005,704237300.264551,305293406.493130
5 Jan 2032 10:09:58.699,-139993525.457997,704217027.728883,305284667.582112
5 Jan 2032 11:09:58.699,-140076326.741522,704195517.550013,305275343.096802
5 Jan 2032 12:09:58.699,-140158635.817751,704172784.618755,305265441.041702
5 Jan 2032 13:09:58.699,-140240403.447242,704148845.483941,305254970.205213
5 Jan 2032 14:09:58.699,-140321581.092508,704123718.320654,305243940.143192
5 Jan 2032 15:09:58.699,-140402120.986113,704097422.912963,305232361.169525
5 Jan 2032 16:09:58.699,-140481976.196608,704069980.627076,305220244.342108
5 Jan 2032 17:09:58.699,-140561100.693605,704041414.383792,305207601.448511
5 Jan 2032 18:09:58.699,-140639449.411615,704011748.628831,305194444.990646
5 Jan 2032 19:09:58.699,-140716978.312636,703981009.301018,305180788.168430
5 Jan 2032 20:09:58.699,-140793644.447328,703949223.798345,305166644.862453
5 Jan 2032 21:09:58.699,-140869406.014756,703916420.941923,305152029.615659
5 Jan 2032 22:09:58.699,-140944222.420604,703882630.937877,305136957.614064
5 Jan 2032 23:09:58.699,-141018054.333755,703847885.337211,305121444.666541
6 Jan 2032 00:09:58.699,-141090863.741197,703812216.993721,305105507.183679
6 Jan 2032 01:09:58.699,-141162614.001128,703775660.019990,305089162.155774
6 Jan 2032 02:09:58.699,-141233269.894210,703738249.741542,305072427.129952
6 Jan 2032 03:09:58.699,-141302797.672894,703700022.649213,305055320.186482
6 Jan 2032 04:09:58.699,-141371165.108712,703661016.349805,305037859.914299
6 Jan 2032 05:09:58.699,-141438341.537490,703621269.515111,305020065.385775
6 Jan 2032 06:09:58.699,-141504297.902400,703580821.829355,305001956.130778
6 Jan 2032 07:09:58.699,-141569006.794778,703539713.935150,304983552.110054
6 Jan 2032 08:09:58.699,-141632442.492656,703497987.378040,304964873.687968
6 Jan 2032 09:09:58.699,-141694580.996939,703455684.549710,304945941.604648
6 Jan 2032 10:09:58.699,-141755400.065157,703412848.629952,304926776.947581
6 Jan 2032 11:09:58.699,-141814879.242771,703369523.527456,304907401.122680
6 Jan 2032 12:09:58.699,-141872999.891952,703325753.819541,304887835.824887
6 Jan 2032 13:09:58.699,-141929745.217798,703281584.690892,304868103.008355
6 Jan 2032 14:09:58.699,-141985100.291947,703237061.871405,304848224.856229
