"Time (UTCG)","x (km)","y (km)","z (km)"
21 Oct 2030 17:09:58.699,340148604.159796,669550821.730274,278705593.659727
21 Oct 2030 18:09:58.699,340106545.147824,669566811.803432,278713471.214320
21 Oct 2030 19:09:58.699,340064484.852845,669582799.961728,278721347.988322
21 Oct 2030 20:09:58.699,340022423.212307,669598786.187835,278729223.972501
21 Oct 2030 21:09:58.699,339980360.166633,669614770.455958,278737099.153647
21 Oct 2030 22:09:58.699,339938295.660595,669630752.732258,278744973.514796
21 Oct 2030 23:09:58.699,339896229.644622,669646732.975460,278752847.035540
22 Oct 2030 00:09:58.699,339854162.075980,669662711.137643,278760719.692420
22 Oct 2030 01:09:58.699,339812092.919835,669678687.165159,278768591.459386
22 Oct 2030 02:09:58.699,339770022.150139,669694660.999742,278776462.308333
22 Oct 2030 03:09:58.699,339727949.750336,669710632.579703,278784332.209684
22 Oct 2030 04:09:58.699,339685875.713862,669726601.841239,278792201.133021
22 Oct 2030 05:09:58.699,339643800.044395,669742568.719779,278800069.047729
22 Oct 2030 06:09:58.699,339601722.755890,669758533.151362,278807935.923651
22 Oct 2030 07:09:58.699,339559643.872377,669774495.074017,278815801.731745
22 Oct 2030 08:09:58.699,339517563.427526,669790454.429103,278823666.444708
22 Oct 2030 09:09:58.699,339475481.463981,669806411.162570,278831530.037570
22 Oct 2030 10:09:58.699,339433398.032488,669822365.226101,278839392.488220
22 Oct 2030 11:09:58.699,339391313.190846,669838316.578123,278847253.777872
22 Oct 2030 12:09:58.699,339349227.002697,669854265.184651,278855113.891444
22 Oct 2030 13:09:58.699,339307139.536212,669870211.019950,278862972.817851
22 Oct 2030 14:09:58.699,339265050.862685,669886154.067008,278870830.550211
22 Oct 2030 15:09:58.699,339222961.055088,669902094.317806,278878687.085942
22 Oct 2030 16:09:58.699,339180870.186622,669918031.773391,278886542.426783
22 Oct 2030 17:09:58.699,339138778.329273,669933966.443763,278894396.578705
22 Oct 2030 18:09:58.699,339096685.552449,669949898.347565,278902249.551752
22 Oct 2030 19:09:58.699,339054591.921666,669965827.511618,278910101.359787
22 Oct 2030 20:09:58.699,339012497.497361,669981753.970290,278917952.020182
22 Oct 2030 21:09:58.699,338970402.333812,669997677.764741,278925801.553434
22 Oct 2030 22:09:58.699,338928306.478204,670013598.942046,278933649.982735
22 Oct 2030 23:09:58.699,338886209.969835,670029517.554214,278941497.333493
23 Oct 2030 00:09:58.699,338844112.839487,670045433.657126,278949343.632814
23 Oct 2030 01:09:58.699,338802015.108961,670061347.309378,278957188.908943
23 Oct 2030 02:09:58.699,338759916.790810,670077258.571136,278965033.190718
23 Oct 2030 03:09:58.699,338717817.888244,670093167.502926,278972876.506992
23 Oct 2030 04:09:58.699,338675718.395219,670109074.164460,278980718.886071
23 Oct 2030 05:09:58.699,338633618.296708,670124978.613447,278988560.355160
23 Oct 2030 06:09:58.699,338591517.569147,670140880.904470,278996400.939831
23 Oct 2030 07:09:58.699,338549416.181061,670156781.087930,279004240.663535
23 Oct 2030 08:09:58.699,338507314.093847,670172679.209077,279012079.547147
23 Oct 2030 09:09:58.699,338465211.262687,670188575.307149,279019917.608580
23 Oct 2030 10:09:58.699,338423107.637604,670204469.414627,279027754.862442
23 Oct 2030 11:09:58.699,338381003.164614,670220361.556628,279035591.319766
23 Oct 2030 12:09:58.699,338338897.786980,670236251.750449,279043426.987819
23 Oct 2030 13:09:58.699,338296791.446528,670252140.005278,279051261.869980
23 Oct 2030 14:09:58.699,338254684.085007,670268026.322075,279059095.965712
23 Oct 2030 15:09:58.699,338212575.645470,670283910.693649,279066929.270616
23 Oct 2030 16:09:58.699,338170466.073632,670299793.104909,279074761.776577
23 Oct 2030 17:09:58.699,338128355.319190,670315673.533308,279082593.471997
23 Oct 2030 18:09:58.699,338086243.337053,670331551.949477,279090424.342113
23 Oct 2030 19:09:58.699,338044130.088461,670347428.318022,279098254.369402
23 Oct 2030 20:09:58.699,338002015.541959,670363302.598486,279106083.534048
23 Oct 2030 21:09:58.699,337959899.674182,670379174.746445,279113911.814483
23 Oct 2030 22:09:58.699,337917782.470447,670395044.714716,279121739.187965
23 Oct 2030 23:09:58.699,337875663.925116,670410912.454639,279129565.631203
24 Oct 2030 00:09:58.699,337833544.041721,670426777.917386,279137391.120972
24 Oct 2030 01:09:58.699,337791422.832872,670442641.055257,279145215.634739
24 Oct 2030 02:09:58.699,337749300.319922,670458501.822989,279153039.151271
24 Oct 2030 03:09:58.699,337707176.532411,670474360.178963,279160861.651208
24 Oct 2030 04:09:58.699,337665051.507319,670490216.086331,279168683.117583
24 Oct 2030 05:09:58.699,337622925.288128,670506069.514001,279176503.536277
24 Oct 2030 06:09:58.699,337580797.923734,670521920.437481,279184322.896405
24 Oct 2030 07:09:58.699,337538669.467245,670537768.839571,279192141.190620
24 Oct 2030 08:09:58.699,337496539.974669,670553614.710868,279199958.415341
24 Oct 2030 09:09:58.699,337454409.503559,670569458.050080,279207774.570870
24 Oct 2030 10:09:58.699,337412278.111605,670585298.864162,279215589.661442
24 Oct 2030 11:09:58.699,337370145.855255,670601137.168239,279223403.695160
24 Oct 2030 12:09:58.699,337328012.788358,670616972.985355,279231216.683860
24 Oct 2030 13:09:58.699,337285878.960881,670632806.346046,279239028.642876
24 Oct 2030 14:09:58.699,337243744.417720,670648637.287738,279246839.590748
24 Oct 2030 15:09:58.699,337201609.197632,670664465.854018,279254649.548845
24 Oct 2030 16:09:58.699,337159473.332301,670680292.093759,279262458.540943
24 Oct 2030 17:09:58.699,337117336.845562,670696116.060156,279270266.592746
24 Oct 2030 18:09:58.699,337075199.752784,670711937.809663,279278073.731375
24 Oct 2030 19:09:58.699,337033062.060437,670727757.400883,279285879.984832
24 Oct 2030 20:09:58.699,336990923.765822,670743574.893404,279293685.381438
24 Oct 2030 21:09:58.699,336948784.856981,670759390.346628,279301489.949279
24 Oct 2030 22:09:58.699,336906645.312788,670775203.818596,279309293.715646
24 Oct 2030 23:09:58.699,336864505.103205,670791015.364830,279317096.706487
25 Oct 2030 00:09:58.699,336822364.189719,670806825.037207,279324898.945879
25 Oct 2030 01:09:58.699,336780222.525949,670822632.882865,279332700.455520
25 Oct 2030 02:09:58.699,336738080.058407,670838438.943241,279340501.254277
25 Oct 2030 03:09:58.699,336695936.727431,670854243.253149,279348301.357770
25 Oct 2030 04:09:58.699,336653792.468231,670870045.840011,279356100.778018
25 Oct 2030 05:09:58.699,336611647.212083,670885846.723196,279363899.523148
25 Oct 2030 06:09:58.699,336569500.887623,670901645.913532,279371697.597177
25 Oct 2030 07:09:58.699,336527353.422218,670917443.412977,279379494.999887
25 Oct 2030 08:09:58.699,336485204.743379,670933239.214485,279387291.726776
25 Oct 2030 09:09:58.699,336443054.780207,670949033.302054,279395087.769110
25 Oct 2030 10:09:58.699,336400903.464816,670964825.650963,279402883.114055
25 Oct 2030 11:09:58.699,336358750.733715,670980616.228214,279410677.744913
25 Oct 2030 12:09:58.699,336316596.529111,670996404.993141,279418471.641429
25 Oct 2030 13:09:58.699,336274440.800110,671012191.898209,279426264.780196
25 Oct 2030 14:09:58.699,336232283.503766,671027976.889968,279434057.135120
25 Oct 2030 15:09:58.699,336190124.605974,671043759.910149,279441848.677960
25 Oct 2030 16:09:58.699,336147964.082169,671059540.896876,279449639.378917
25 Oct 2030 17:09:58.699,336105801.917809,671075319.785978,279457429.207262
25 Oct 2030 18:09:58.699,336063638.108645,671091096.512341,279465218.131985
25 Oct 2030 19:09:58.699,336021472.660736,671106871.011307,279473006.122463
25 Oct 2030 20:09:58.699,335979305.590234,671122643.220052,279480793.149110
25 Oct 2030 21:09:58.699,335937136.922938,671138413.078914,279488579.184000
25 Oct 2030 22:09:58.699,335894966.693604,671154180.532654,279496364.201460
25 Oct 2030 23:09:58.699,335852794.945072,671169945.531590,279504148.178589
26 Oct 2030 00:09:58.699,335810621.727193,671185708.032589,279511931.095716
26 Oct 2030 01:09:58.699,335768447.095663,671201467.999880,279519712.936767
26 Oct 2030 02:09:58.699,335726271.110660,671217225.405720,279527493.689558
26 Oct 2030 03:09:58.699,335684093.835484,671232980.230829,279535273.345983
26 Oct 2030 04:09:58.699,335641915.335128,671248732.464655,279543051.902111
26 Oct 2030 05:09:58.699,335599735.674826,671264482.105437,279550829.358195
26 Oct 2030 06:09:58.699,335557554.918661,671280229.160066,279558605.718586
26 Oct 2030 07:09:58.699,335515373.128191,671295973.643795,279566380.991565
26 Oct 2030 08:09:58.699,335473190.361187,671311715.579760,279574155.189101
26 Oct 2030 09:09:58.699,335431006.670443,671327454.998364,279581928.326534
