"Penumbra Start Time (UTCG)","Umbra Start Time (UTCG)","Umbra Stop Time (UTCG)","Penumbra Stop Time (UTCG)","Obstruction","Duration (sec)","Max Percent Shadow","Time of Max Shadow (UTCG)"
2 Nov 2031 23:55:24.235,2 Nov 2031 23:55:31.193,3 Nov 2031 00:46:05.506,3 Nov 2031 00:46:08.788,"Jupiter",3044.553,100.000000,2 Nov 2031 23:55:31.193
5 Nov 2031 21:55:27.961,5 Nov 2031 21:55:34.751,5 Nov 2031 22:46:06.524,5 Nov 2031 22:46:09.712,"Jupiter",3041.752,100.000000,5 Nov 2031 21:55:34.751
8 Nov 2031 19:55:32.037,8 Nov 2031 19:55:38.666,8 Nov 2031 20:46:06.736,8 Nov 2031 20:46:09.839,"Jupiter",3037.802,100.000000,8 Nov 2031 19:55:38.666
11 Nov 2031 17:55:36.399,11 Nov 2031 17:55:42.874,11 Nov 2031 18:46:06.215,11 Nov 2031 18:46:09.240,"Jupiter",3032.842,100.000000,11 Nov 2031 17:55:42.874
14 Nov 2031 15:55:40.996,14 Nov 2031 15:55:47.323,14 Nov 2031 16:46:05.010,14 Nov 2031 16:46:07.957,"Jupiter",3026.961,100.000000,14 Nov 2031 15:55:47.323
17 Nov 2031 13:55:45.779,17 Nov 2031 13:55:51.964,17 Nov 2031 14:46:03.168,17 Nov 2031 14:46:06.046,"Jupiter",3020.267,100.000000,17 Nov 2031 13:55:51.964
20 Nov 2031 11:55:50.695,20 Nov 2031 11:55:56.744,20 Nov 2031 12:46:00.740,20 Nov 2031 12:46:03.554,"Jupiter",3012.859,100.000000,20 Nov 2031 11:55:56.744
23 Nov 2031 09:55:55.707,23 Nov 2031 09:56:01.624,23 Nov 2031 10:45:57.754,23 Nov 2031 10:46:00.508,"Jupiter",3004.801,100.000000,23 Nov 2031 09:56:01.624
26 Nov 2031 07:56:00.773,26 Nov 2031 07:56:06.564,26 Nov 2031 08:45:54.263,26 Nov 2031 08:45:56.962,"Jupiter",2996.189,100.000000,26 Nov 2031 07:56:06.564
29 Nov 2031 05:56:05.868,29 Nov 2031 05:56:11.537,29 Nov 2031 06:45:50.297,29 Nov 2031 06:45:52.944,"Jupiter",2987.075,100.000000,29 Nov 2031 05:56:11.537
2 Dec 2031 03:56:10.954,2 Dec 2031 03:56:16.505,2 Dec 2031 04:45:45.890,2 Dec 2031 04:45:48.489,"Jupiter",2977.535,100.000000,2 Dec 2031 03:56:16.505
5 Dec 2031 01:56:16.004,5 Dec 2031 01:56:21.442,5 Dec 2031 02:45:41.074,5 Dec 2031 02:45:43.628,"Jupiter",2967.624,100.000000,5 Dec 2031 01:56:21.442
7 Dec 2031 23:56:20.993,7 Dec 2031 23:56:26.321,8 Dec 2031 00:45:35.877,8 Dec 2031 00:45:38.389,"Jupiter",2957.397,100.000000,7 Dec 2031 23:56:26.321
10 Dec 2031 21:56:25.895,10 Dec 2031 21:56:31.117,10 Dec 2031 22:45:30.329,10 Dec 2031 22:45:32.802,"Jupiter",2946.907,100.000000,10 Dec 2031 21:56:31.117
10 Dec 2031 22:39:19.106,N/A,N/A,10 Dec 2031 22:42:10.228,"Callisto",171.122,25.878300,10 Dec 2031 22:40:37.043
13 Dec 2031 19:56:30.698,13 Dec 2031 19:56:35.818,13 Dec 2031 20:45:24.448,13 Dec 2031 20:45:26.884,"Jupiter",2936.187,100.000000,13 Dec 2031 19:56:35.818
16 Dec 2031 17:56:35.375,16 Dec 2031 17:56:40.395,16 Dec 2031 18:45:18.263,16 Dec 2031 18:45:20.666,"Jupiter",2925.291,100.000000,16 Dec 2031 17:56:40.395
19 Dec 2031 15:56:39.910,19 Dec 2031 15:56:44.836,19 Dec 2031 16:45:11.799,19 Dec 2031 16:45:14.171,"Jupiter",2914.261,100.000000,19 Dec 2031 15:56:44.836
22 Dec 2031 13:56:44.295,22 Dec 2031 13:56:49.128,22 Dec 2031 14:45:05.070,22 Dec 2031 14:45:07.414,"Jupiter",2903.119,100.000000,22 Dec 2031 13:56:49.128
25 Dec 2031 11:56:48.506,25 Dec 2031 11:56:53.249,25 Dec 2031 12:44:58.093,25 Dec 2031 12:45:00.409,"Jupiter",2891.903,100.000000,25 Dec 2031 11:56:53.249
28 Dec 2031 09:56:52.541,28 Dec 2031 09:56:57.198,28 Dec 2031 10:44:50.895,28 Dec 2031 10:44:53.188,"Jupiter",2880.647,100.000000,28 Dec 2031 09:56:57.198
31 Dec 2031 07:56:56.381,31 Dec 2031 07:57:00.953,31 Dec 2031 08:44:43.489,31 Dec 2031 08:44:45.757,"Jupiter",2869.375,100.000000,31 Dec 2031 07:57:00.953
3 Jan 2032 05:57:00.024,3 Jan 2032 05:57:04.515,3 Jan 2032 06:44:35.892,3 Jan 2032 06:44:38.138,"Jupiter",2858.113,100.000000,3 Jan 2032 05:57:04.515
6 Jan 2032 03:57:03.457,6 Jan 2032 03:57:07.868,6 Jan 2032 04:44:28.120,6 Jan 2032 04:44:30.345,"Jupiter",2846.889,100.000000,6 Jan 2032 03:57:07.868
9 Jan 2032 01:57:06.670,9 Jan 2032 01:57:11.005,9 Jan 2032 02:44:20.182,9 Jan 2032 02:44:22.389,"Jupiter",2835.719,100.000000,9 Jan 2032 01:57:11.005
11 Jan 2032 23:57:09.665,11 Jan 2032 23:57:13.925,12 Jan 2032 00:44:12.100,12 Jan 2032 00:44:14.290,"Jupiter",2824.625,100.000000,11 Jan 2032 23:57:13.925
14 Jan 2032 21:57:12.428,14 Jan 2032 21:57:16.618,14 Jan 2032 22:44:03.877,14 Jan 2032 22:44:06.052,"Jupiter",2813.624,100.000000,14 Jan 2032 21:57:16.618
17 Jan 2032 19:57:14.959,17 Jan 2032 19:57:19.079,17 Jan 2032 20:43:55.533,17 Jan 2032 20:43:57.694,"Jupiter",2802.735,100.000000,17 Jan 2032 19:57:19.079
20 Jan 2032 17:57:17.256,20 Jan 2032 17:57:21.306,20 Jan 2032 18:43:47.078,20 Jan 2032 18:43:49.228,"Jupiter",2791.972,100.000000,20 Jan 2032 17:57:21.306
23 Jan 2032 15:57:19.308,23 Jan 2032 15:57:23.292,23 Jan 2032 16:43:38.521,23 Jan 2032 16:43:40.657,"Jupiter",2781.349,100.000000,23 Jan 2032 15:57:23.292
26 Jan 2032 13:57:21.122,26 Jan 2032 13:57:25.042,26 Jan 2032 14:43:29.874,26 Jan 2032 14:43:32.000,"Jupiter",2770.877,100.000000,26 Jan 2032 13:57:25.042
29 Jan 2032 11:57:22.687,29 Jan 2032 11:57:26.546,29 Jan 2032 12:43:21.148,29 Jan 2032 12:43:23.267,"Jupiter",2760.580,100.000000,29 Jan 2032 11:57:26.546
1 Feb 2032 09:57:24.009,1 Feb 2032 09:57:27.806,1 Feb 2032 10:43:12.349,1 Feb 2032 10:43:14.456,"Jupiter",2750.447,100.000000,1 Feb 2032 09:57:27.806
4 Feb 2032 07:57:25.081,4 Feb 2032 07:57:28.819,4 Feb 2032 08:43:03.490,4 Feb 2032 08:43:05.589,"Jupiter",2740.508,100.000000,4 Feb 2032 07:57:28.819
7 Feb 2032 05:57:25.903,7 Feb 2032 05:57:29.584,7 Feb 2032 06:42:54.578,7 Feb 2032 06:42:56.671,"Jupiter",2730.767,100.000000,7 Feb 2032 05:57:29.584
10 Feb 2032 03:57:26.482,10 Feb 2032 03:57:30.106,10 Feb 2032 04:42:45.621,10 Feb 2032 04:42:47.708,"Jupiter",2721.227,100.000000,10 Feb 2032 03:57:30.106
