"Time (UTCG)","x (km)","y (km)","z (km)"
11 Apr 2032 03:09:58.699,-244264868.825084,672222047.543804,294047544.940837
11 Apr 2032 04:09:58.699,-244259935.922182,672198547.085156,294038883.831167
11 Apr 2032 05:09:58.699,-244254518.340071,672178342.541196,294031771.017646
11 Apr 2032 06:09:58.699,-244248887.567015,672161462.717115,294026216.489986
11 Apr 2032 07:09:58.699,-244243317.253325,672147917.957604,294022221.573386
11 Apr 2032 08:09:58.699,-244238081.652079,672137699.956512,294019778.859518
11 Apr 2032 09:09:58.699,-244233454.034942,672130781.678440,294018872.190196
11 Apr 2032 10:09:58.699,-244229705.093634,672127117.395610,294019476.695159
11 Apr 2032 11:09:58.699,-244227101.338156,672126642.842494,294021558.885000
11 Apr 2032 12:09:58.699,-244225903.503364,672129275.489719,294025076.799791
11 Apr 2032 13:09:58.699,-244226364.975820,672134914.937734,294029980.213473
11 Apr 2032 14:09:58.699,-244228730.253050,672143443.429641,294036210.893597
11 Apr 2032 15:09:58.699,-244233233.447406,672154726.481475,294043702.915429
11 Apr 2032 16:09:58.699,-244240096.846547,672168613.627040,294052383.028924
11 Apr 2032 17:09:58.699,-244249529.542308,672184939.273232,294062171.076508
11 Apr 2032 18:09:58.699,-244261726.139177,672203523.660531,294072980.459028
11 Apr 2032 19:09:58.699,-244276865.553024,672224173.922136,294084718.646676
11 Apr 2032 20:09:58.699,-244295109.909963,672246685.234010,294097287.731145
11 Apr 2032 21:09:58.699,-244316603.554378,672270842.046974,294110585.014748
11 Apr 2032 22:09:58.699,-244341472.174246,672296419.391063,294124503.631838
11 Apr 2032 23:09:58.699,-244369822.050842,672323184.241605,294138933.197496
12 Apr 2032 00:09:58.699,-244401739.438738,672350896.936030,294153760.478294
12 Apr 2032 01:09:58.699,-244437290.080562,672379312.629885,294168870.079672
12 Apr 2032 02:09:58.699,-244476518.859742,672408182.780780,294184145.144641
12 Apr 2032 03:09:58.699,-244519449.592700,672437256.648418,294199468.058218
12 Apr 2032 04:09:58.699,-244566084.960603,672466282.799322,294214721.152290
12 Apr 2032 05:09:58.699,-244616406.579371,672495010.604864,294229787.405575
12 Apr 2032 06:09:58.699,-244670375.205229,672523191.721497,294244551.133518
12 Apr 2032 07:09:58.699,-244727931.071974,672550581.542567,294258898.663210
12 Apr 2032 08:09:58.699,-244788994.354984,672576940.611603,294272718.988650
12 Apr 2032 09:09:58.699,-244853465.756011,672602035.987615,294285904.402007
12 Apr 2032 10:09:58.699,-244921227.202029,672625642.553720,294298351.096908
12 Apr 2032 11:09:58.699,-244992142.650544,672647544.261212,294309959.740144
12 Apr 2032 12:09:58.699,-245066058.993309,672667535.302058,294320636.008640
12 Apr 2032 13:09:58.699,-245142807.049769,672685421.203708,294330291.088915
12 Apr 2032 14:09:58.699,-245222202.641339,672701019.841054,294338842.136751
12 Apr 2032 15:09:58.699,-245304047.737251,672714162.361225,294346212.695159
12 Apr 2032 16:09:58.699,-245388131.662744,672724694.017896,294352333.069212
12 Apr 2032 17:09:58.699,-245474232.360198,672732474.912558,294357140.656670
12 Apr 2032 18:09:58.699,-245562117.694091,672737380.641124,294360580.233750
12 Apr 2032 19:09:58.699,-245651546.790678,672739302.844932,294362604.195736
12 Apr 2032 20:09:58.699,-245742271.403718,672738149.666010,294363172.752447
12 Apr 2032 21:09:58.699,-245834037.297775,672733846.107050,294362254.078907
12 Apr 2032 22:09:58.699,-245926585.641081,672726334.297179,294359824.421824
12 Apr 2032 23:09:58.699,-246019654.400426,672715573.665099,294355868.162694
13 Apr 2032 00:09:58.699,-246112979.728811,672701541.017840,294350377.836814
13 Apr 2032 01:09:58.699,-246206297.356563,672684230.559640,294343354.124522
13 Apr 2032 02:09:58.699,-246299343.917226,672663653.737201,294334805.761139
