"Time (UTCG)","x (km)","y (km)","z (km)"
30 Jul 2030 04:09:58.699,422427240.168759,633147137.688646,261119640.150935
30 Jul 2030 05:09:58.699,422371786.444509,633222208.114812,261155104.547713
30 Jul 2030 06:09:58.699,422307620.708922,633294598.518890,261189149.207390
30 Jul 2030 07:09:58.699,422235287.629935,633363185.357616,261221248.415391
30 Jul 2030 08:09:58.699,422155505.490682,633426929.115461,261250919.326265
30 Jul 2030 09:09:58.699,422069150.413482,633484895.713817,261277731.891726
30 Jul 2030 10:09:58.699,421977237.561987,633536275.646590,261301317.656550
30 Jul 2030 11:09:58.699,421880899.694286,633580400.538375,261321377.283873
30 Jul 2030 12:09:58.699,421781363.473742,633616756.857916,261337686.689420
30 Jul 2030 13:09:58.699,421679923.966280,633644996.561466,261350101.684503
30 Jul 2030 14:09:58.699,421577917.770776,633664944.483281,261358561.048202
30 Jul 2030 15:09:58.699,421476695.248037,633676602.331291,261363087.968876
30 Jul 2030 16:09:58.699,421377592.333037,633680149.187726,261363789.815342
30 Jul 2030 17:09:58.699,421281902.433428,633675938.459575,261360856.219828
30 Jul 2030 18:09:58.699,421190848.933962,633664491.273612,261354555.478785
30 Jul 2030 19:09:58.699,421105558.839187,633646486.366573,261345229.304479
30 Jul 2030 20:09:58.699,421027038.094135,633622746.583161,261333285.989917
30 Jul 2030 21:09:58.699,420956149.122042,633594222.162807,261319192.082160
30 Jul 2030 22:09:58.699,420893591.106998,633561971.069654,261303462.693870
30 Jul 2030 23:09:58.699,420839883.524741,633527136.697719,261286650.619429
31 Jul 2030 00:09:58.699,420795353.382950,633490923.362460,261269334.458997
31 Jul 2030 01:09:58.699,420760126.564934,633454570.073987,261252105.992721
31 Jul 2030 02:09:58.699,420734123.606136,633419323.138443,261235557.070689
31 Jul 2030 03:09:58.699,420717060.121662,633386408.234437,261220266.330097
31 Jul 2030 04:09:58.699,420708451.993901,633357002.603406,261206786.045527
31 Jul 2030 05:09:58.699,420707625.302639,633332208.070451,261195629.453053
31 Jul 2030 06:09:58.699,420713730.840897,633313025.591037,261187258.876552
31 Jul 2030 07:09:58.699,420725762.921208,633300331.997925,261182074.972282
31 Jul 2030 08:09:58.699,420742582.041837,633294859.581787,261180407.386073
31 Jul 2030 09:09:58.699,420762940.857348,633297179.066830,261182507.081090
31 Jul 2030 10:09:58.699,420785512.790531,633307686.446003,261188540.546279
31 Jul 2030 11:09:58.699,420808922.538870,633326594.025069,261198586.039366
31 Jul 2030 12:09:58.699,420831777.672701,633353925.897160,261212631.956581
31 Jul 2030 13:09:58.699,420852700.496240,633389517.935316,261230577.357013
31 Jul 2030 14:09:58.699,420870359.347562,633433022.255712,261252234.605451
31 Jul 2030 15:09:58.699,420883498.548317,633483915.974484,261277334.036317
31 Jul 2030 16:09:58.699,420890966.275731,633541513.961739,261305530.485609
31 Jul 2030 17:09:58.699,420891739.713878,633604985.192938,261336411.489869
31 Jul 2030 18:09:58.699,420884946.941767,633673372.216183,261369506.914074
31 Jul 2030 19:09:58.699,420869885.120918,633745613.209609,261404299.750932
31 Jul 2030 20:09:58.699,420846034.668975,633820566.028573,261440237.800696
31 Jul 2030 21:09:58.699,420813069.218305,633897033.665809,261476745.953623
